[METRICS] Macro Dice=0.2412 | Jaccard=0.2202 | HD95=4.4386
[METRICS] Class 01: Dice=0.4495 | Jaccard=0.4011 | HD95=3.0042
[METRICS] Class 02: Dice=0.0209 | Jaccard=0.0186 | HD95=0.3862
[METRICS] Class 03: Dice=0.2137 | Jaccard=0.1933 | HD95=4.3278
[METRICS] Class 04: Dice=0.2049 | Jaccard=0.1848 | HD95=8.7123
[METRICS] Class 05: Dice=0.4177 | Jaccard=0.3943 | HD95=7.0519
[METRICS] Class 06: Dice=0.0736 | Jaccard=0.0674 | HD95=2.2221
[METRICS] Class 07: Dice=0.2701 | Jaccard=0.2509 | HD95=5.0181
[METRICS] Class 08: Dice=0.2790 | Jaccard=0.2515 | HD95=4.7858
Epoch 11, Loss=0.908259, Loss_SEG=0.040789, Loss_DICE=0.867470
[METRICS] Macro Dice=0.2595 | Jaccard=0.2371 | HD95=4.6880
[METRICS] Class 01: Dice=0.4415 | Jaccard=0.3958 | HD95=2.1424
[METRICS] Class 02: Dice=0.0858 | Jaccard=0.0792 | HD95=0.6745
[METRICS] Class 03: Dice=0.2365 | Jaccard=0.2162 | HD95=6.6874
[METRICS] Class 04: Dice=0.2148 | Jaccard=0.1937 | HD95=6.6148
[METRICS] Class 05: Dice=0.4468 | Jaccard=0.4216 | HD95=8.4647
[METRICS] Class 06: Dice=0.0775 | Jaccard=0.0677 | HD95=1.8649
[METRICS] Class 07: Dice=0.2963 | Jaccard=0.2758 | HD95=5.5323
[METRICS] Class 08: Dice=0.2772 | Jaccard=0.2466 | HD95=5.5233
Epoch 12, Loss=0.909191, Loss_SEG=0.041242, Loss_DICE=0.867949
[METRICS] Macro Dice=0.2303 | Jaccard=0.2106 | HD95=4.5401
[METRICS] Class 01: Dice=0.4257 | Jaccard=0.3843 | HD95=2.2240
[METRICS] Class 02: Dice=0.0926 | Jaccard=0.0877 | HD95=0.4486
[METRICS] Class 03: Dice=0.2262 | Jaccard=0.2105 | HD95=6.2320
[METRICS] Class 04: Dice=0.2121 | Jaccard=0.1945 | HD95=4.2073
[METRICS] Class 05: Dice=0.3514 | Jaccard=0.3258 | HD95=9.6578
[METRICS] Class 06: Dice=0.0715 | Jaccard=0.0602 | HD95=2.0773
[METRICS] Class 07: Dice=0.2232 | Jaccard=0.2082 | HD95=6.7719
[METRICS] Class 08: Dice=0.2397 | Jaccard=0.2139 | HD95=4.7019
Epoch 13, Loss=0.906135, Loss_SEG=0.038065, Loss_DICE=0.868071
[METRICS] Macro Dice=0.2480 | Jaccard=0.2275 | HD95=3.6385
[METRICS] Class 01: Dice=0.5259 | Jaccard=0.4777 | HD95=2.4269
[METRICS] Class 02: Dice=0.0490 | Jaccard=0.0421 | HD95=0.8489
[METRICS] Class 03: Dice=0.2353 | Jaccard=0.2165 | HD95=5.5563
[METRICS] Class 04: Dice=0.2293 | Jaccard=0.2101 | HD95=3.6780
[METRICS] Class 05: Dice=0.4107 | Jaccard=0.3885 | HD95=6.4172
[METRICS] Class 06: Dice=0.0746 | Jaccard=0.0641 | HD95=1.7894
[METRICS] Class 07: Dice=0.2214 | Jaccard=0.2080 | HD95=4.2913
[METRICS] Class 08: Dice=0.2379 | Jaccard=0.2129 | HD95=4.0998
Epoch 14, Loss=0.913518, Loss_SEG=0.044065, Loss_DICE=0.869453
[METRICS] Macro Dice=0.2354 | Jaccard=0.2141 | HD95=4.3122
[METRICS] Class 01: Dice=0.4783 | Jaccard=0.4316 | HD95=3.2230
[METRICS] Class 02: Dice=0.1001 | Jaccard=0.0917 | HD95=0.7586
[METRICS] Class 03: Dice=0.2019 | Jaccard=0.1832 | HD95=6.4387
[METRICS] Class 04: Dice=0.1898 | Jaccard=0.1720 | HD95=3.6575
[METRICS] Class 05: Dice=0.3996 | Jaccard=0.3713 | HD95=7.3059
[METRICS] Class 06: Dice=0.0437 | Jaccard=0.0366 | HD95=1.8081
[METRICS] Class 07: Dice=0.2623 | Jaccard=0.2424 | HD95=7.1949
[METRICS] Class 08: Dice=0.2072 | Jaccard=0.1837 | HD95=4.1109
Epoch 15, Loss=0.902852, Loss_SEG=0.035003, Loss_DICE=0.867848
[METRICS] Macro Dice=0.2555 | Jaccard=0.2341 | HD95=3.7701
[METRICS] Class 01: Dice=0.4888 | Jaccard=0.4460 | HD95=2.6611
[METRICS] Class 02: Dice=0.0909 | Jaccard=0.0839 | HD95=0.8627
[METRICS] Class 03: Dice=0.2338 | Jaccard=0.2150 | HD95=5.3270
[METRICS] Class 04: Dice=0.2360 | Jaccard=0.2149 | HD95=3.9119
[METRICS] Class 05: Dice=0.4141 | Jaccard=0.3895 | HD95=7.2806
[METRICS] Class 06: Dice=0.0735 | Jaccard=0.0589 | HD95=2.7129
[METRICS] Class 07: Dice=0.2568 | Jaccard=0.2418 | HD95=3.7051
[METRICS] Class 08: Dice=0.2496 | Jaccard=0.2226 | HD95=3.6993
Epoch 16, Loss=0.899493, Loss_SEG=0.034292, Loss_DICE=0.865200
[METRICS] Macro Dice=0.2326 | Jaccard=0.2119 | HD95=3.3301
[METRICS] Class 01: Dice=0.4714 | Jaccard=0.4265 | HD95=1.8999
[METRICS] Class 02: Dice=0.0806 | Jaccard=0.0712 | HD95=0.8346
[METRICS] Class 03: Dice=0.1933 | Jaccard=0.1747 | HD95=5.7854
[METRICS] Class 04: Dice=0.2279 | Jaccard=0.2090 | HD95=3.7628
[METRICS] Class 05: Dice=0.3621 | Jaccard=0.3437 | HD95=4.4458
[METRICS] Class 06: Dice=0.0791 | Jaccard=0.0631 | HD95=2.3467
[METRICS] Class 07: Dice=0.2119 | Jaccard=0.1992 | HD95=3.1539
[METRICS] Class 08: Dice=0.2343 | Jaccard=0.2078 | HD95=4.4115
Epoch 17, Loss=0.901166, Loss_SEG=0.033803, Loss_DICE=0.867363
[METRICS] Macro Dice=0.2162 | Jaccard=0.1972 | HD95=3.2460
[METRICS] Class 01: Dice=0.3947 | Jaccard=0.3569 | HD95=1.6491
[METRICS] Class 02: Dice=0.0726 | Jaccard=0.0649 | HD95=0.5693
[METRICS] Class 03: Dice=0.2433 | Jaccard=0.2236 | HD95=4.3560
[METRICS] Class 04: Dice=0.1996 | Jaccard=0.1801 | HD95=4.7535
[METRICS] Class 05: Dice=0.3379 | Jaccard=0.3168 | HD95=5.7649
[METRICS] Class 06: Dice=0.0745 | Jaccard=0.0615 | HD95=2.0040
[METRICS] Class 07: Dice=0.2022 | Jaccard=0.1886 | HD95=3.2975
[METRICS] Class 08: Dice=0.2053 | Jaccard=0.1854 | HD95=3.5738
Epoch 18, Loss=0.895672, Loss_SEG=0.029958, Loss_DICE=0.865714
[METRICS] Macro Dice=0.2672 | Jaccard=0.2458 | HD95=3.1523
[METRICS] Class 01: Dice=0.4915 | Jaccard=0.4449 | HD95=1.9767
[METRICS] Class 02: Dice=0.0776 | Jaccard=0.0722 | HD95=0.5149
[METRICS] Class 03: Dice=0.2588 | Jaccard=0.2399 | HD95=3.2839
[METRICS] Class 04: Dice=0.2506 | Jaccard=0.2291 | HD95=4.9509
[METRICS] Class 05: Dice=0.4039 | Jaccard=0.3851 | HD95=3.5410
[METRICS] Class 06: Dice=0.1303 | Jaccard=0.1105 | HD95=3.5327
[METRICS] Class 07: Dice=0.2840 | Jaccard=0.2685 | HD95=2.8676
[METRICS] Class 08: Dice=0.2406 | Jaccard=0.2166 | HD95=4.5508
Epoch 19, Loss=0.876603, Loss_SEG=0.038992, Loss_DICE=0.837611
[METRICS] Macro Dice=0.2616 | Jaccard=0.2407 | HD95=3.0287
[METRICS] Class 01: Dice=0.4779 | Jaccard=0.4355 | HD95=1.3359
[METRICS] Class 02: Dice=0.0698 | Jaccard=0.0632 | HD95=0.6090
[METRICS] Class 03: Dice=0.2453 | Jaccard=0.2257 | HD95=3.8613
[METRICS] Class 04: Dice=0.2457 | Jaccard=0.2235 | HD95=3.8800
[METRICS] Class 05: Dice=0.4453 | Jaccard=0.4209 | HD95=5.5267
[METRICS] Class 06: Dice=0.0980 | Jaccard=0.0854 | HD95=2.3065
[METRICS] Class 07: Dice=0.2682 | Jaccard=0.2531 | HD95=1.9158
[METRICS] Class 08: Dice=0.2428 | Jaccard=0.2184 | HD95=4.7945
Epoch 20, Loss=0.826190, Loss_SEG=0.051248, Loss_DICE=0.774943
[METRICS] Macro Dice=0.2503 | Jaccard=0.2297 | HD95=3.5258
[METRICS] Class 01: Dice=0.4717 | Jaccard=0.4239 | HD95=2.0066
[METRICS] Class 02: Dice=0.0774 | Jaccard=0.0730 | HD95=0.4376
[METRICS] Class 03: Dice=0.2711 | Jaccard=0.2536 | HD95=4.7575
[METRICS] Class 04: Dice=0.2097 | Jaccard=0.1914 | HD95=3.8150
[METRICS] Class 05: Dice=0.3761 | Jaccard=0.3532 | HD95=7.2624
[METRICS] Class 06: Dice=0.0874 | Jaccard=0.0777 | HD95=1.6914
[METRICS] Class 07: Dice=0.2912 | Jaccard=0.2741 | HD95=4.1627
[METRICS] Class 08: Dice=0.2176 | Jaccard=0.1906 | HD95=4.0737
Epoch 21, Loss=0.781004, Loss_SEG=0.055091, Loss_DICE=0.725913
[METRICS] Macro Dice=0.2174 | Jaccard=0.1959 | HD95=3.5421
[METRICS] Class 01: Dice=0.4360 | Jaccard=0.3927 | HD95=2.1971
[METRICS] Class 02: Dice=0.0304 | Jaccard=0.0269 | HD95=0.4319
[METRICS] Class 03: Dice=0.2101 | Jaccard=0.1869 | HD95=5.1448
[METRICS] Class 04: Dice=0.1965 | Jaccard=0.1758 | HD95=4.2513
[METRICS] Class 05: Dice=0.3623 | Jaccard=0.3377 | HD95=6.5282
[METRICS] Class 06: Dice=0.0648 | Jaccard=0.0521 | HD95=1.8581
[METRICS] Class 07: Dice=0.2312 | Jaccard=0.2113 | HD95=4.3148
[METRICS] Class 08: Dice=0.2078 | Jaccard=0.1841 | HD95=3.6104
Epoch 22, Loss=0.669450, Loss_SEG=0.070144, Loss_DICE=0.599306
[METRICS] Macro Dice=0.1942 | Jaccard=0.1763 | HD95=2.7403
[METRICS] Class 01: Dice=0.4178 | Jaccard=0.3691 | HD95=2.3874
[METRICS] Class 02: Dice=0.0075 | Jaccard=0.0064 | HD95=0.1194
[METRICS] Class 03: Dice=0.1984 | Jaccard=0.1768 | HD95=4.3308
[METRICS] Class 04: Dice=0.2099 | Jaccard=0.1901 | HD95=4.8077
[METRICS] Class 05: Dice=0.3566 | Jaccard=0.3372 | HD95=4.5039
[METRICS] Class 06: Dice=0.0045 | Jaccard=0.0045 | HD95=0.8330
[METRICS] Class 07: Dice=0.1929 | Jaccard=0.1792 | HD95=2.4138
[METRICS] Class 08: Dice=0.1663 | Jaccard=0.1475 | HD95=2.5268
Epoch 23, Loss=0.630552, Loss_SEG=0.066734, Loss_DICE=0.563818
[METRICS] Macro Dice=0.2263 | Jaccard=0.2075 | HD95=3.1149
[METRICS] Class 01: Dice=0.4805 | Jaccard=0.4373 | HD95=1.6179
[METRICS] Class 02: Dice=0.0028 | Jaccard=0.0016 | HD95=0.2106
[METRICS] Class 03: Dice=0.2273 | Jaccard=0.2073 | HD95=3.7144
[METRICS] Class 04: Dice=0.2308 | Jaccard=0.2102 | HD95=5.4116
[METRICS] Class 05: Dice=0.4141 | Jaccard=0.3910 | HD95=5.4819
[METRICS] Class 06: Dice=0.0203 | Jaccard=0.0160 | HD95=2.2729
[METRICS] Class 07: Dice=0.2216 | Jaccard=0.2088 | HD95=2.9528
[METRICS] Class 08: Dice=0.2127 | Jaccard=0.1875 | HD95=3.2571
